Timestamp,TotalAmount,TotalInputs,TotalOutputs,Inputs,Outputs,Suspicius
1711809090,6.3922273,0,2,{},"{""37jKPSmbEGwgfacCr2nayn1wTaqMAbA94Z"": 5.46e-06, ""39C7fxSzEACPjM78Z7xdPxhf7mKxJwvfMJ"": 6.39222184}",False
1711807304,3.3e-06,1,1,"{""bc1pkp6pm80p7y066vtuv54p64qj3j8srg629ayuy9g9e2p9zqd2sflqa7w6nw"": 4.276e-05}","{""bc1q262qeyyhdakrje5qaux8m2a3r4z8sw8vu5mysh"": 3.3e-06}",False
1711809083,5.64959448,1,2,"{""14dJRoKyj2i83uRbTUeKqhFMwvFZcpiXyn"": 5.65029448}","{""14dJRoKyj2i83uRbTUeKqhFMwvFZcpiXyn"": 5.31822985, ""bc1qse2pn9thqzxs0rwxe96rcr75a8e8fxngt7mcuq"": 0.33136463}",False
1711808878,7.970021119999999,1,2,"{""1Kr6QSydW9bFQG1mXiPNNu6WpJGmUa9i1g"": 7.97060312}","{""3L6VrdJc9mdztVFxSFXNesqTofeMoY2WnT"": 0.0139, ""1Kr6QSydW9bFQG1mXiPNNu6WpJGmUa9i1g"": 7.95612112}",True
1711808878,0.003718,1,2,"{""bc1qcfur50kn45gmktt6he0t7ycsuqdpv4azt2q05j"": 0.004}","{""bc1q9uftvucrklu2eaee2h9zf5ashcwz087s4zqawh"": 0.00177992, ""bc1q0ue9gd06u4r2dqmt42l6aumq9gyrkr2ejnrvc6"": 0.00193808}",False
1711808998,0.10068584,1,1,"{""3Lw7mXB8WurWNoifjnrU29tR1DcdFdcwq2"": 0.100949}","{""14v7LrAYwfgXqKppaGWPpeKuGemsc4WWzW"": 0.10068584}",False
1711808878,3.06410196,1,1,"{""1GAqbrNrTTxoRAq4s3wvF7LkVL1CVHYrtB"": 3.06435981}","{""bc1q5nf305g9lhyepglfvsnsgeypcjhvkcg3vy8gyp"": 3.06410196}",False
1711809052,0.49972063,1,2,"{""bc1qq63rpvqwexawapxdt9m5ywcpu03cuntcygpapf"": 0.5}","{""bc1qfaprhnsvxmv586zwuyv3dugtegsa8yqzndjuk5"": 0.01, ""bc1qq63rpvqwexawapxdt9m5ywcpu03cuntcygpapf"": 0.48972063}",False
1711808970,0.00563133,1,1,"{""bc1qej8m7qs6y4cujz9rn6235dystta9cflp4afpxp"": 0.00573333}","{""19SBTHwPijd22yZDKRgSPsQCsk5aEYHUn2"": 0.00563133}",False
1711808943,0.02567436,1,1,"{""bc1qlygckeq5h6r4y6jqnyyxuc8mcnfkkm76szuvfh"": 0.0257744}","{""34ejDLabYp2tLSSME2EXbLCHUz3mB7fP1g"": 0.02567436}",False
